Year,Month,Day,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,TOBS
1948,1,1,1.17,0,0.7,-9999,62,26,-9999
1948,1,2,0,0,0,-9999,31,27,-9999
1948,1,3,0,0,0,-9999,38,23,-9999
1948,1,4,0.07,0,0,-9999,37,32,-9999
1948,1,5,0,0,0,-9999,42,28,-9999
1948,1,6,0,0,0,-9999,46,30,-9999
1948,1,7,0,0,0,-9999,52,23,-9999
1948,1,8,0,0,0,-9999,61,37,-9999
1948,1,9,0,0,0,-9999,57,36,-9999
1948,1,10,0,0,0,-9999,42,23,-9999
1948,1,11,0.03,0,0,-9999,45,21,-9999
1948,1,12,0.45,0,0,-9999,43,34,-9999
1948,1,13,0,0,0,-9999,34,19,-9999
1948,1,14,0.01,0,0.4,-9999,21,10,-9999
1948,1,15,0,0,0,-9999,41,12,-9999
1948,1,16,0,0,0,-9999,36,16,-9999
1948,1,17,0,0,0,-9999,19,6,-9999
1948,1,18,0,0,0,-9999,23,3,-9999
1948,1,19,0,0,0,-9999,35,12,-9999
1948,1,20,0,0,0.1,-9999,38,14,-9999
1948,1,21,0,0,0,-9999,40,20,-9999
1948,1,22,0.15,2,2,-9999,21,6,-9999
1948,1,23,0,1,0,-9999,18,0,-9999
1948,1,24,0.04,2,0.5,-9999,20,-1,-9999
1948,1,25,0.01,1,0.1,-9999,23,-1,-9999
1948,1,26,0.06,2,0.7,-9999,26,0,-9999
1948,1,27,0,2,0.1,-9999,21,7,-9999
1948,1,28,0,2,0,-9999,19,-4,-9999
1948,1,29,0,1,0,-9999,26,-9999,-9999
1948,1,30,0,1,0,-9999,32,24,-9999
1948,1,31,0.03,1,0.4,-9999,25,17,-9999
1948,2,1,0,0,0,-9999,32,14,-9999
1948,2,2,0,0,0,-9999,40,7,-9999
1948,2,3,0.02,0,0.1,-9999,37,18,-9999
1948,2,4,0.36,0,0,-9999,38,32,-9999
1948,2,5,0.59,5,6.6,-9999,33,21,-9999
1948,2,6,0,6,0,-9999,33,3,-9999
1948,2,7,0,3,0,-9999,39,20,-9999
1948,2,8,0,2,0,-9999,30,13,-9999
1948,2,9,0,2,0,-9999,28,9,-9999
1948,2,10,0,1,0,-9999,36,4,-9999
1948,2,11,0.32,0,0,-9999,40,30,-9999
1948,2,12,0.13,0,0,-9999,39,33,-9999
1948,2,13,0.56,0,0.1,-9999,39,27,-9999
1948,2,14,0.04,0,0.8,-9999,39,24,-9999
1948,2,15,0,0,0,-9999,49,23,-9999
1948,2,16,0,0,0,-9999,61,38,-9999
1948,2,17,0,0,0,-9999,64,30,-9999
1948,2,18,0,0,0,-9999,69,37,-9999
1948,2,19,0,0,0,-9999,66,31,-9999
1948,2,20,0,0,0,-9999,35,21,-9999
1948,2,21,0.23,4,3.7,-9999,28,18,-9999
1948,2,22,0,3,0,-9999,32,14,-9999
1948,2,23,0,0,0,-9999,46,17,-9999
1948,2,24,0.02,0,0,-9999,53,32,-9999
1948,2,25,0.45,0,0,-9999,51,46,-9999
1948,2,26,0.05,0,0,-9999,61,48,-9999
1948,2,27,0.5,0,0,-9999,71,51,-9999
1948,2,28,0,0,0,-9999,62,43,-9999
1948,2,29,0,0,0,-9999,46,30,-9999
1948,3,1,0.18,0,0,-9999,50,32,-9999
1948,3,2,0.13,0,0,-9999,63,36,-9999
1948,3,3,0,0,0,-9999,37,33,-9999
1948,3,4,0,0,0,-9999,44,29,-9999
1948,3,5,0,0,0,-9999,47,23,-9999
1948,3,6,0.35,0,0,-9999,44,37,-9999
1948,3,7,0,0,0,-9999,48,29,-9999
1948,3,8,0,0,0,-9999,43,26,-9999
1948,3,9,0,0,0,-9999,48,32,-9999
1948,3,10,0.01,0,0,-9999,40,29,-9999
1948,3,11,0.11,0,0.6,-9999,29,16,-9999
1948,3,12,0,0,0,-9999,32,11,-9999
1948,3,13,0,0,0,-9999,49,19,-9999
1948,3,14,0,0,0,-9999,63,29,-9999
1948,3,15,0.12,0,0,-9999,64,56,-9999
1948,3,16,0,0,0,-9999,63,36,-9999
1948,3,17,0,0,0,-9999,61,30,-9999
1948,3,18,0.01,0,0,-9999,70,38,-9999
1948,3,19,0.01,0,0,-9999,81,51,-9999
1948,3,20,0,0,0,-9999,81,48,-9999
1948,3,21,0.41,0,0,-9999,80,59,-9999
1948,3,22,0.4,0,0,-9999,64,55,-9999
1948,3,23,0.24,0,0,-9999,57,47,-9999
1948,3,24,0,0,0,-9999,69,41,-9999
1948,3,25,0,0,0,-9999,75,40,-9999
1948,3,26,1.1,0,0,-9999,77,56,-9999
1948,3,27,0,0,0,-9999,56,33,-9999
1948,3,28,0,0,0,-9999,49,28,-9999
1948,3,29,0,0,0,-9999,65,38,-9999
1948,3,30,0.69,0,0,-9999,63,40,-9999
1948,3,31,0.01,0,0,-9999,68,51,-9999
1948,4,1,0.01,0,0,-9999,51,34,-9999
1948,4,2,0,0,0,-9999,59,30,-9999
1948,4,3,0,0,0,-9999,62,30,-9999
1948,4,4,0,0,0,-9999,74,39,-9999
1948,4,5,0.08,0,0,-9999,76,49,-9999
1948,4,6,0,0,0,-9999,79,60,-9999
1948,4,7,0.29,0,0,-9999,78,57,-9999
1948,4,8,0,0,0,-9999,74,44,-9999
1948,4,9,0,0,0,-9999,58,40,-9999
1948,4,10,0,0,0,-9999,62,39,-9999
1948,4,11,1.1,0,0,-9999,77,54,-9999
1948,4,12,2.21,0,0,-9999,55,47,-9999
1948,4,13,0.29,0,0,-9999,61,45,-9999
1948,4,14,0,0,0,-9999,50,38,-9999
