Year,State,Value
2017,ALABAMA,"7,330"
2017,ALABAMA, (D)
2017,ALABAMA,"6,620"
2017,ALABAMA,"3,895"
2017,ALABAMA,640
2017,ALABAMA, (D)
2017,ALABAMA,"5,194"
2017,ALABAMA,"3,380"
2017,ALABAMA, (D)
2017,ALABAMA,600
2017,ALABAMA,630
2017,ALABAMA,290
2017,ALABAMA,"13,544"
2017,ALABAMA,972
2017,ALABAMA, (D)
2017,ALABAMA,"1,129"
2017,ALABAMA,"5,398"
2017,ALABAMA,"11,639"
2017,ALABAMA,"9,516"
2017,ALABAMA,"1,460"
2017,ALABAMA,"2,495"
2017,ALABAMA,"12,316"
2017,ALABAMA,"4,610"
2017,ALABAMA,760
2017,ALABAMA,"2,570"
2017,ALABAMA,"1,115"
2017,ALABAMA,"6,256"
2017,ALABAMA,"21,423"
2017,ALABAMA,"3,145"
2017,ALABAMA,"1,910"
2017,ALABAMA,500
2017,ALABAMA,518
2017,ALABAMA,"2,645"
2017,ALABAMA,"1,960"
2017,ALABAMA,"15,451"
2017,ALABAMA,"51,709"
2017,ALABAMA,455
2017,ALABAMA, (D)
2017,ALABAMA,"2,843"
2017,ALABAMA,"1,092"
2017,ALABAMA,"2,020"
2017,ALABAMA,780
2017,ALABAMA,"3,080"
2017,ALABAMA, (D)
2017,ALABAMA,"3,775"
2017,ALABAMA,"3,272"
2017,ALABAMA,"1,160"
2017,ALABAMA,"2,000"
2017,ALABAMA,"1,460"
2017,ALABAMA,"2,599"
2017,ALABAMA,"6,154"
2017,ALABAMA,"24,025"
2017,ALABAMA, (D)
2017,ALABAMA,"9,690"
2017,ALABAMA,"2,566"
2017,ALABAMA,940
2017,ALABAMA,"1,061"
2017,ALABAMA,"3,895"
2017,ALABAMA,"1,615"
2017,ALABAMA,"2,561"
2017,ALABAMA,"5,990"
2017,ALABAMA,"1,230"
2017,ALABAMA,"2,595"
2017,ALABAMA,"11,972"
2017,ALABAMA,125
2017,ALASKA,"10,890"
2017,ALASKA,"12,225"
2017,ALASKA,"7,955"
2017,ARIZONA,370
2017,ARIZONA, (D)
2017,ARIZONA, (D)
2017,ARIZONA,900
2017,ARIZONA,"3,520"
2017,ARIZONA,"10,494"
2017,ARIZONA,"2,380"
2017,ARIZONA, (D)
2017,ARIZONA, (D)
2017,ARIZONA,"635,078"
2017,ARIZONA,"68,584"
2017,ARIZONA,"56,639"
2017,ARIZONA,610
2017,ARIZONA,"128,192"
2017,ARKANSAS,"1,278"
2017,ARKANSAS,"12,189"
2017,ARKANSAS,"10,430"
2017,ARKANSAS,"1,988"
2017,ARKANSAS,656
2017,ARKANSAS,"11,381"
2017,ARKANSAS, (D)
2017,ARKANSAS, (D)
2017,ARKANSAS, (D)
2017,ARKANSAS, (D)
2017,ARKANSAS,"3,049"
2017,ARKANSAS, (D)
2017,ARKANSAS, (D)
2017,ARKANSAS,864
2017,ARKANSAS,617
2017,ARKANSAS,"3,150"
2017,ARKANSAS,204
2017,ARKANSAS,"4,624"
2017,ARKANSAS,199
2017,ARKANSAS, (D)
2017,ARKANSAS, (D)
2017,ARKANSAS,125
2017,ARKANSAS,"1,913"
2017,ARKANSAS, (D)
2017,ARKANSAS,"1,090"
2017,ARKANSAS, (D)
2017,ARKANSAS, (D)
2017,ARKANSAS,817
2017,ARKANSAS, (D)
2017,ARKANSAS, (D)
2017,ARKANSAS,"44,372"
2017,ARKANSAS,339
2017,ARKANSAS,"13,882"
2017,ARKANSAS,"3,717"
2017,ARKANSAS,"1,140"
2017,ARKANSAS,"4,362"
2017,ARKANSAS, (D)
2017,ARKANSAS,"5,001"
2017,ARKANSAS,513
2017,ARKANSAS, (D)
2017,ARKANSAS,540
2017,ARKANSAS, (D)
2017,ARKANSAS,152
2017,ARKANSAS,385
2017,ARKANSAS, (D)
2017,ARKANSAS,"2,638"
2017,ARKANSAS,45
2017,ARKANSAS, (D)
2017,ARKANSAS, (D)
2017,ARKANSAS,"2,872"
2017,ARKANSAS,821
2017,ARKANSAS,"1,174"
2017,ARKANSAS, (D)
2017,ARKANSAS, (D)
2017,ARKANSAS,624
2017,ARKANSAS, (D)
2017,ARKANSAS, (D)
2017,ARKANSAS,"1,508"
2017,ARKANSAS,"6,138"
2017,ARKANSAS,"4,422"
2017,ARKANSAS,"2,503"
2017,ARKANSAS,"1,540"
2017,ARKANSAS,"4,717"
2017,ARKANSAS, (D)
2017,ARKANSAS,"1,218"
2017,ARKANSAS,"3,916"
2017,CALIFORNIA, (D)
2017,CALIFORNIA,"130,448"
2017,CALIFORNIA,"6,906"
2017,CALIFORNIA,"7,342"
2017,CALIFORNIA, (D)
2017,CALIFORNIA,"7,073"
2017,CALIFORNIA,794
2017,CALIFORNIA, (D)
2017,CALIFORNIA,"10,722"
2017,CALIFORNIA,"24,140"
2017,CALIFORNIA,"53,743"
2017,CALIFORNIA,"1,267"
2017,CALIFORNIA,"29,982"
2017,CALIFORNIA,520
2017,CALIFORNIA,326
2017,CALIFORNIA,640
2017,CALIFORNIA,"18,169"
2017,CALIFORNIA,"12,826"
2017,CALIFORNIA,"76,827"
2017,CALIFORNIA, (D)
2017,CALIFORNIA, (D)
2017,CALIFORNIA,"232,343"
2017,CALIFORNIA,"23,553"
2017,CALIFORNIA,"115,378"
2017,CALIFORNIA,"53,914"
2017,CALIFORNIA,"149,671"
2017,CALIFORNIA,"2,360"
2017,CALIFORNIA,"1,087,821"
2017,CALIFORNIA,"1,675,284"
2017,CALIFORNIA, (D)
2017,CALIFORNIA,"354,803"
2017,CALIFORNIA,"1,197,159"
2017,CALIFORNIA,"44,792"
